0.4000000000000003 ps 
-1121.92 156.356 217.85
-393.366 -842.173 216.18
480.625 161.573 1365.4
-367.62 782.753 -703.619
-405.495 -700.942 -772.141
161.846 -1486.78 -1470.14
506.178 680.008 764.07
-614.776 347.971 663.905
433.173 986.077 -291.389
-214.072 -954.135 344.798
-408.823 -256.569 -254.992
-225.788 -281.063 -2141.52
464.632 737.002 695.667
-264.726 -155.873 1353.99
1137.8 805.123 952.662
-772.302 -299.123 -592.43
-440.339 -459.532 -50.5165
17.7394 -1249.76 925.568
-382.446 641.358 -1020.46
415.452 434.71 118.295
106.814 126.532 1575.37
166.36 -289.06 -1176.44
-185.232 228.2 -379.317
-886.452 -702.75 -174.501
-44.4482 725.718 -85.2593
771.852 -65.1429 169.05
-491.848 216.419 785.582
213.702 56.9354 -708.067
45.1519 -199.09 -143.333
-2152.48 529.642 983.445
471.381 -573.447 -991.936
1331.23 208.58 -12.8698
399.54 -90.2464 1660.71
-663.727 310.669 -670.708
179.211 -454.976 -929.299
-2048.67 -547.891 1116.05
1370.2 -112.288 -292.363
406.024 838.199 -1007.05
583.032 -726.227 -969.505
-475.921 710.112 519.935
-48.3859 112.116 216.239
-555.98 -228.578 1560.37
329.746 428.597 -486.408
207.143 -263.574 -958.842
1903.72 -804.632 -199.547
-1040.43 184.13 436.6
-509.179 686.04 -313.431
-1155.12 -869.387 427.766
1001.49 825.012 -50.2607
350.228 201.358 -427.629
-405.302 -1333.03 1360.06
71.3669 770.256 -1163.68
319.937 447.554 26.3393
1323.98 249.127 -486.47
-436.048 -624.008 -43.3555
-792.609 422.701 467.36
-968.009 -1634.65 -722.094
735.37 707.507 173.458
109.235 838.242 689.325
-224.515 1368.44 -885.897
141.591 -847.2 -26.6279
-166.865 -412.117 807.879
999.703 798.852 -1190.51
-1116.18 -193.398 521.156
232.809 -767.742 495.907
-988.19 -691.325 205.482
493.774 938.384 17.6234
982.469 72.3925 -247.598
1950.68 -182.074 256.416
-967.568 624.324 -110.171
-955.067 -406.712 44.6961
-63.0732 337.478 -1132.92
47.3056 296.656 405.992
153.784 -398.175 781.081
866.092 -519.855 703.028
-763.369 21.7444 -777.939
-309.993 353.21 155.48
-735.359 546.389 -567.183
336.733 -233.245 555.2
497.577 -329.448 -46.4336
619.078 -1930.26 410.201
129.348 1089.14 -742.885
-589.715 543.774 235.792
-519.808 786.392 530.076
323.994 -442.132 -504.991
290.216 -299.832 -47.9581
291.114 -1691.76 497.319
-321.816 424.307 -207.93
21.3941 1235.3 -119.221
-1726.41 800.427 893.907
617.802 -580.698 -820.038
1126.57 -168.015 109.133
-744.695 -1370.9 316.933
115.854 821.484 -671.402
592.775 258.745 526.581
478.644 804.732 2116.24
