#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
0.04000000000000001,-222204.91924640432,2095.8884973822132,-220109.0307490221,24.69289763306256,109.29939060703813,0.9695637339356842
0.08000000000000004,-222632.41924640432,4315.680081389204,-218316.7391650151,50.84557055391715,109.29939060703813,0.9695637339356842
0.12000000000000008,-223017.98174640432,6287.903210559074,-216730.07853584524,74.08149359990772,109.29939060703813,0.9695637339356842
0.16000000000000011,-222978.23174640432,7655.471649773186,-215322.76009663113,90.19362338061853,109.29939060703813,0.9695637339356842
0.20000000000000015,-222703.04424640432,8774.474817523733,-213928.56942888058,103.37725920229938,109.29939060703813,0.9695637339356842
0.24000000000000019,-222304.29424640432,9645.404028197285,-212658.89021820703,113.63818952930244,109.29939060703813,0.9695637339356842
0.2800000000000002,-222010.41924640432,10561.78890239136,-211448.63034401296,124.43465981826296,109.29939060703813,0.9695637339356842
0.32000000000000023,-221786.54424640432,11514.831713505439,-210271.71253289888,135.66301886701942,109.29939060703813,0.9695637339356842
0.36000000000000026,-221176.91924640432,12126.434179395554,-209050.48506700876,142.86866797536467,109.29939060703813,0.9695637339356842
0.4000000000000003,-220938.10674640432,12868.422946793493,-208069.68379961082,151.61047494702552,109.29939060703813,0.9695637339356842
0.44000000000000034,-220461.54424640432,13242.087305557718,-207219.4569408466,156.0128349826922,109.29939060703813,0.9695637339356842
0.48000000000000037,-220216.48174640432,13897.682835876301,-206318.798910528,163.7367923110853,109.29939060703813,0.9695637339356842
0.5200000000000004,-219867.04424640432,14329.593701089034,-205537.45054531528,168.8253887677319,109.29939060703813,0.9695637339356842
0.5600000000000004,-219612.66924640432,15086.041582772974,-204526.62766363134,177.73754708650637,109.29939060703813,0.9695637339356842
0.6000000000000004,-218976.91924640432,15324.160578389361,-203652.75866801495,180.542967313101,109.29939060703813,0.9695637339356842
0.6400000000000005,-218722.04424640432,15743.634976624278,-202978.40926978004,185.48504242265125,109.29939060703813,0.9695637339356842
0.6800000000000005,-218481.54424640432,16355.50303837625,-202126.04120802807,192.6938206723782,109.29939060703813,0.9695637339356842
0.7200000000000005,-218074.54424640432,16615.541533106763,-201459.00271329755,195.75748743664371,109.29939060703813,0.9695637339356842
0.7600000000000006,-217718.85674640432,16977.300754300843,-200741.55599210347,200.0195860301133,109.29939060703813,0.9695637339356842
0.8000000000000006,-217577.66924640432,17436.808349577826,-200140.8608968265,205.43331582822103,109.29939060703813,0.9695637339356842
